Company Name,Ownership Type,Holding Company Name,State,City,Website,Planning Area Name,Balancing Authority Area Name,Membership Name,Overlap,Area (sq mi),Location Code,Source,Population 2000,Number Of Households,Median Household Income,Household Aggregate Income,Per Capita Income,Layer_ID,Rec_ID,Bundled Residential Customers,Bundled Industrial Customers,Bundled Commercial Customers,Bundled Total Customers,Total Customers Ranges,Color_Code,Distribution Line Miles,Population 2010
Brantford Power Inc,IOU,Brantford Energy Corp,,,http://www.brantfordpower.com,Not Applicable,Not Applicable,Not Applicable,F,30.17209503,4,ABB Research,-99,-99,-99.9,-99.9,-99.9,81,3003,-99,-99,-99,-99,Not Reported,4,-99.9,-99
Breckenridge Public Utility Commission,Muni,Breckenridge Public Utility Commission,MN,Breckenridge,www.breckenridgemn.net/utility.html,WAPA Upper Great Plains East,Southwest Power Pool (Balancing Authority),Not Applicable,F,2.384989894,4,Previously Mapped Features; ABB Research,1702.778781,821.5388662,-99.9,-99.9,-99.9,81,1736,1558,18,294,1870,"0 to 3,000",1,-99.9,1643.444435
Breda Electric System,Muni,Breda Electric System,IA,Breda,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Municipal Energy Agency of Nebraska,F,0.672655386,3,Company Maps; ABB Research,451,4.545486136,-99.9,-99.9,-99.9,81,83,242,12,54,308,0 to 700,5,-99.9,10.99714388
Breese IL (City of),Muni,Breese IL (City of),IL,Breese,www.breese.org,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,1.021742024,4,Previously Mapped Features; ABB Research,3897,51.41230746,-99.9,-99.9,-99.9,81,446,2043,0,297,2340,"0 to 3,000",1,-99.9,124.1250397
Bremen Electric Light & Power Co,Muni,Bremen Electric Light & Power Co,IN,Bremen,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Indiana Municipal Power Agency,F,0.96455373,4,Previously Mapped Features; ABB Research,5029,228.5418657,-99.9,-99.9,-99.9,81,447,1924,31,360,2315,"0 to 3,000",1,-99.9,553.2081913
Brenham TX (City of),Muni,Brenham TX (City of),TX,Brenham,,ERCOT,ERCOT ISO (Balancing Authority),Not Applicable,F,4.998028514,4,Previously Mapped Features; ABB Research,13661,488.4398927,-99.9,-99.9,-99.9,81,448,5767,23,1335,7125,"3,000 to 100,000",1,-99.9,1180.497738
Brewster MN (City of),Muni,Brewster MN (City of),MN,Brewster,,WAPA Upper Great Plains East,Southwest Power Pool (Balancing Authority),Not Applicable,F,1.18650004,4,Previously Mapped Features; ABB Research,489,5.208045114,-99.9,-99.9,-99.9,81,1823,218,3,40,261,0 to 700,1,-99.9,11.74554435
Brewster OH (City of),Muni,Brewster OH (City of),OH,Brewster,,American Municipal Power OH,PJM Interconnection,American Municipal Power Inc,F,1.999287017,3,ABB Research,2410,152.3520621,-99.9,-99.9,-99.9,81,2503,863,17,62,942,"0 to 3,000",1,-99.9,385.0566016
Bridgeport NE (City of),Muni,Bridgeport NE (City of),NE,Bridgeport,,WAPA Rocky Mountain Region,WAPA Rocky Mountain Region,Municipal Energy Agency of Nebraska,F,0.965122515,4,Previously Mapped Features; ABB Research,1618,1.650697731,-99.9,-99.9,-99.9,81,1824,717,0,193,910,"0 to 3,000",1,-99.9,3.408197362
Bridgeport TX (City of),Muni,Bridgeport TX (City of),TX,Bridgeport,,ERCOT,ERCOT ISO (Balancing Authority),Not Applicable,F,1.601325046,4,Previously Mapped Features; ABB Research,4362,184.5047215,-99.9,-99.9,-99.9,81,449,1826,0,482,2308,"0 to 3,000",1,-99.9,525.7837934
Bridger Valley Electric Association Inc,DistCoop,Bridger Valley Electric Association Inc,WY,Mountain View,www.bvea.net,WAPA Rocky Mountain Region,WAPA Rocky Mountain Region,Deseret Power Electric Coop,F,3645.289798,3,Company Maps; ABB Research,8618.839137,6973.641208,-99.9,-99.9,-99.9,81,18,5412,213,1097,6722,"3,000 to 100,000",5,-99.9,11723.35344
Brigham City Corp,Muni,Brigham City Corp,UT,Brigham City,www.brigham.ulct.org,PacifiCorp,PacifiCorp East,Not Applicable,F,14.36867656,3,ABB Research,16960,4385.335979,-99.9,-99.9,-99.9,81,450,6918,1,998,7917,"3,000 to 100,000",4,-99.9,12191.64009
Brinson GA (Town of),Muni,Brinson GA (Town of),GA,Brinson,,Southern Co Services,Southern Co Services Inc,Municipal Electric Authority of Georgia,F,1.875515028,4,Previously Mapped Features; ABB Research,247,13.21700416,-99.9,-99.9,-99.9,81,1537,109,0,2,111,0 to 700,1,-99.9,28.26156963
